Symbol,revenue,eps_basic,cash_and_equiv,total_assets,total_liabilities,retained_earnings,total_liabilities_and_equity,cf_cfo,total_assets_growth,equity_to_assets,period_end_date,Average_Stock_Value_After_Result
BDX,944946000,0.38,153544000.0,4763257000,2408493000,3210793000,4763257000.0,155485000,0.0365,0.4943,2001-12,34.869252283065045
BDX,1012971000,0.5,180127000.0,4845470000,2434061000,3314439000,4845470000.0,136648000,0.0435,0.4976,2002-03,35.78033536672592
BDX,998460000,0.46,175981000.0,4923382000,2408637000,3408388000,4923382000.0,240268000,0.0503,0.5107,2002-06,28.817808847578743
BDX,1003982000,0.51,243115000.0,5040460000,2552486000,3514465000,5040460000.0,298920000,0.0495,0.4936,2002-09,29.324041760157023
BDX,1051648000,0.44,226427000.0,5061761000,2489424000,3601415000,5061761000.0,113623000,0.0626,0.5081,2002-12,31.741777973790324
BDX,1134041000,0.56,285471000.0,5247024000,2542103000,3717845000,5247024000.0,179210000,0.0828,0.5155,2003-03,35.878126114133806
BDX,1165369000,0.51,455217000.0,5558189000,2660107000,3821582000,5558189000.0,216133000,0.1289,0.5214,2003-06,36.52528066483755
BDX,1112451000,0.63,519886000.0,5572253000,2675299000,3950592000,5572253000.0,392964000,0.1055,0.5198,2003-09,37.312582409571085
BDX,1185120000,0.5,534640000.0,5608919000,2563904000,4037320000,5608919000.0,213183000,0.108,0.5428,2003-12,45.31093609717585
BDX,1253633000,0.65,660469000.0,5714972000,2554519000,4164089000,5714972000.0,274996000,0.0891,0.553,2004-03,49.117859748102006
BDX,1242714000,0.43,659511000.0,5718494000,2640166000,4235345000,5718494000.0,283839000,0.0288,0.5383,2004-06,47.583740052722746
BDX,1253278000,0.27,719378000.0,5752579000,2684716000,4264778000,5752579000.0,329645000,0.0323,0.5333,2004-09,52.52512577601841
BDX,1288369000,0.78,822037000.0,5973425000,2631213000,4414071000,5973425000.0,262775000,0.0649,0.5595,2004-12,56.25271440321399
BDX,1365530000,0.74,825497000.0,6003464000,2586133000,4557000000,6003464000.0,201989000,0.0504,0.5692,2005-03,55.64344501495361
BDX,1381306000,0.75,918391000.0,6010178000,2716139000,4701467000,6010178000.0,331906000,0.051,0.548,2005-06,52.14169547671364
BDX,1379476000,0.6,1042890000.0,6132793000,2848841000,4805852000,6132793000.0,420125000,0.066,0.5354,2005-09,54.703058636377726
BDX,1393845000,0.88,1168973000.0,6230756000,2825356000,4969430000,6230756000.0,165727000,0.043,0.5465,2005-12,61.61022820011262
BDX,1424209000,0.62,776534000.0,6122778000,2613903000,5071393000,6122778000.0,200557000,0.0198,0.573,2006-03,59.95896257672991
BDX,1457347000,0.84,720995000.0,6211193000,2654720000,5224571000,6211193000.0,295106000,0.0334,0.5725,2006-06,64.46984106396872
BDX,1462616000,0.7,1000289000.0,6824525000,2988321000,5345697000,6824525000.0,415010000,0.1127,0.5621,2006-09,69.86000775534009
BDX,1501526000,0.58,533425000.0,6810541000,2879541000,5427451000,6810541000.0,285559000,0.093,0.5771,2006-12,73.23886433585746
